"Date","Price","Open","High","Low","Vol.","Change %"
"04/11/2025","156.84","154.62","157.59","152.00","8.81M","0.85%"
"04/10/2025","155.52","154.98","157.35","149.41","10.37M","-3.30%"
"04/09/2025","160.82","138.85","162.43","137.94","16.78M","15.37%"
"04/08/2025","139.39","146.85","147.77","137.40","14.53M","0.38%"
"04/07/2025","138.86","132.05","143.97","128.88","18.83M","1.66%"
"04/04/2025","136.59","143.30","146.00","132.79","22.28M","-9.49%"
"04/03/2025","150.91","160.00","160.21","150.41","15.88M","-10.47%"
"04/02/2025","168.56","166.40","170.38","165.55","5.83M","0.23%"
"04/01/2025","168.17","170.00","170.98","164.22","8.25M","-1.40%"
"03/31/2025","170.55","170.65","172.21","166.79","7.48M","-1.59%"
"03/28/2025","173.31","177.75","178.50","172.45","8.21M","-3.24%"
"03/27/2025","179.11","178.53","182.22","178.03","4.79M","0.31%"
"03/26/2025","178.55","182.52","183.23","177.28","6.63M","-2.21%"
"03/25/2025","182.59","182.16","183.85","180.36","7.17M","0.93%"
"03/24/2025","180.90","182.03","184.40","180.44","9.99M","1.57%"
"03/21/2025","178.11","172.06","183.46","170.77","26.80M","3.06%"
"03/20/2025","172.83","171.14","173.10","170.31","4.93M","0.12%"
"03/19/2025","172.62","165.32","174.20","165.00","14.11M","6.84%"
"03/18/2025","161.57","161.44","162.23","158.79","4.20M","-0.17%"
"03/17/2025","161.85","160.50","162.77","159.62","5.60M","0.02%"
"03/14/2025","161.81","160.91","162.32","159.20","5.22M","1.56%"
"03/13/2025","159.32","159.22","161.74","157.25","5.70M","0.33%"
"03/12/2025","158.80","157.00","159.54","153.61","8.71M","3.08%"