<TICKER>,<NAME>
1.HK,CKH HOLDINGS
10.HK,HANG LUNG GROUP
1000.HK,BEIJING MEDIA
1001.HK,HK SH ALLIANCE
1002.HK,VS INTL
1003.HK,HUANXI MEDIA
1004.HK,C SMARTERENERGY
1005.HK,MATRIX HOLDINGS
1007.HK,LONGHUI INTL
1008.HK,LITU HOLDINGS
1009.HK,INTL ENT
101.HK,HANG LUNG PPT
1010.HK,SKY BLUE 11
1011.HK,NT PHARMA
1013.HK,WAI CHUN GROUP
102.HK,SUMMIT ASCENT
1020.HK,CYBERNAUT INTL
1022.HK,FEIYU
1023.HK,SITOY GROUP
1024.HK,KUAISHOU W
1025.HK,KNT HOLDINGS
1026.HK,UNIVERSAL TECH
1027.HK,CHINA JICHENG
1028.HK,CBANNER
1029.HK,IRC
103.HK,SHOUGANG CENT
1030.HK,SEAZEN
1033.HK,SINOPEC SSC
1034.HK,FULLWEALTH
1036.HK,VANKE OVERSEAS
1037.HK,MAXNERVA TECH
1038.HK,CKI HOLDINGS
1039.HK,CHANGYOU INT GP
104.HK,ASIA COMM HOLD
1044.HK,HENGAN INTL
1045.HK,APT SATELLITE
1046.HK,UNIVERSE ENT
1047.HK,NGAI HING HONG
1049.HK,CELESTIAL ASIA
105.HK,ASSO INT HOTELS
1050.HK,KARRIE INTL
1051.HK,G RESOURCES
1052.HK,YUEXIUTRANSPORT
1053.HK,CHONGQING IRON
1055.HK,CHINA SOUTH AIR
1057.HK,ZHEJIANG SHIBAO
1058.HK,NAMYUE HOLDINGS
1059.HK,KANTONE HOLDING
106.HK,LANDSEA MGMT
1060.HK,ALI PICTURES
1061.HK,ESSEX BIO TECH
1062.HK,CDB INTL INV
1063.HK,SUNCORP TECH
1064.HK,ZHONG HUA INTL
1065.HK,TIANJIN CAPITAL
1066.HK,WEIGAO GROUP
1068.HK,YURUN FOOD
1069.HK,CN HEALTH TECH
107.HK,SICHUAN EXPRESS
1070.HK,TCL ELECTRONICS
1071.HK,HUADIAN POWER
1072.HK,DONGFANG ELEC
1073.HK,DA YU FIN
1075.HK,CAPINFO
1079.HK,PINE TECH
108.HK,GR LIFE STYLE
1080.HK,SHENGLI PIPE
1082.HK,BDV EDU INTL
1083.HK,TG SMART ENERGY
1084.HK,GF HYDROCOLLOID
1085.HK,HXTL
1086.HK,GOODBABY INTL
1087.HK,INVESTECH HLDGS
1088.HK,CHINA SHENHUA
1090.HK,DA MING INTL
1091.HK,SOUTH MANGANESE
1093.HK,CSPC PHARMA
1094.HK,CHERISH SUN
1097.HK,I CABLE COMM
1098.HK,ROAD KING INFRA
1099.HK,SINOPHARM
11.HK,HANG SENG BANK
110.HK,CHINA FORTUNE
1100.HK,MAINLAND HOLD
1101.HK,HUARONG ENERGY
1102.HK,ENVIRO ENERGY
1104.HK,APAC RESOURCES
1105.HK,SING TAO
1107.HK,MODERN LAND
1108.HK,TRIUMPH NEW EN
1109.HK,CHINA RES LAND
111.HK,CINDA INTL HLDG
1110.HK,KINGWORLD
1111.HK,HUASHI GROUP
1112.HK,H H INTL HLDG
1113.HK,CK ASSET
1114.HK,BRILLIANCE CHI
1115.HK,TIBET WATER
1116.HK,MAYER HOLDINGS
1117.HK,CH MODERN D
1118.HK,GOLIK HOLDINGS
1119.HK,IDREAMSKY
1120.HK,ARTS OPTICAL
1121.HK,GOLDENSOLAR
1122.HK,QINGLING MOTORS
1123.HK,CHINA HK PHOTO
1124.HK,COASTAL GL
1125.HK,LAI FUNG HOLD
1126.HK,DREAM INTL
1127.HK,LION ROCK GROUP
1128.HK,WYNN MACAU
1129.HK,WATER INDUSTRY
113.HK,DICKSON CONCEPT
1130.HK,CHINA ENV RES
1132.HK,ORANGE SKY G H
1133.HK,HARBIN ELECTRIC
1134.HK,KELFRED
1137.HK,HK TECH VENTURE
1138.HK,COSCO SHIP ENGY
114.HK,HERALD HOLD
1140.HK,WEALTHINK AI
1141.HK,CMBC CAPITAL
1142.HK,E P GLOBAL
1143.HK,CN ENGY STORAGE
1145.HK,COURAGE INV
1146.HK,HUICHENG INTL H
1147.HK,EDENSOFT
1148.HK,POWER XINCHEN
115.HK,GRAND FIELD GP
1150.HK,MILAN STATION
1152.HK,MOMENTUM FIN
1153.HK,JIAYUAN SER
1156.HK,CHINANEWENERGY
1157.HK,ZOOMLION
1159.HK,SMART DIGI TECH
116.HK,CHOW SANG SANG
1160.HK,GOLDSTONE CAP
1161.HK,WATER OASIS GP
1162.HK,LUMINA GROUP
1163.HK,ADTIGER CORP
1164.HK,CGN MINING
1165.HK,SFCE
1166.HK,SOLARTECH INTL
1167.HK,JACOBIO B
1168.HK,SINOLINK HOLD
117.HK,TIANLI HOLDINGS
1170.HK,KINGMAKER
1171.HK,YANKUANG ENERGY
1172.HK,MAGNUSCONCORDIA
1173.HK,VEEKO INTL
1176.HK,ZHUGUANG HOLD
1177.HK,SINO BIOPHARM
1179.HK,HWORLD S
118.HK,COSMOS MACH
1180.HK,PARADISE ENT
1181.HK,TANG PALACE
1182.HK,SUCCESS DRAGON
1183.HK,MECOM POWER
1184.HK,SAS DRAGON
1185.HK,CHINA ENERGINE
1186.HK,CHINA RAIL CONS
1188.HK,HYBRID KINETIC
1189.HK,GBA DYNAMIC
119.HK,POLY PROPERTY
1193.HK,CHINA RES GAS
1195.HK,KINGWELL GROUP
1196.HK,REALORD GROUP
1198.HK,ROYALE HOME
1199.HK,COSCO SHIP PORT
12.HK,HENDERSON LAND
120.HK,COSMOPOL INTL
1200.HK,MIDLAND HOLDING
1201.HK,TESSON HOLDINGS
1202.HK,SIWI SCI TECH
1203.HK,GUANGNAN HOLD
1204.HK,BOARDWARE INTEL
1205.HK,CITIC RESOURCES
1206.HK,TECHNOVATOR
1208.HK,MMG
1209.HK,CHINA RES MIXC
1211.HK,BYD COMPANY
1213.HK,MOBICON GROUP
1215.HK,KAI YUAN HLDGS
1216.HK,ZYBANK
1217.HK,CH INNOVATION
1218.HK,EASYKNIT INTL
122.HK,CROCODILE
1220.HK,ZHIDAO INTL
1221.HK,SINO HOTELS
1222.HK,WANG ON GROUP
1223.HK,SYMPHONY HOLD
1224.HK,C C LAND
1225.HK,LERADO FIN
1226.HK,CH INV FIN GP
1228.HK,CANBRIDGE B
1229.HK,NAN NAN RES
123.HK,YUEXIU PROPERTY
1231.HK,NEWTON RES
1232.HK,GW TIANDI
1233.HK,TIMES CHINA
1234.HK,CHINA LILANG
1235.HK,TRAVEL EXPERT
1237.HK,CH ENV TECH BIO
1238.HK,POWERLONG
1239.HK,TEAMWAY INTL GP
124.HK,GD LAND
1240.HK,CNQC INTL
1241.HK,SHUANGHUA H
1243.HK,WANG ON PPT
1244.HK,3D MEDICINES
1245.HK,NIRAKU
1246.HK,BOILLHEALTHCARE
1247.HK,MIKO INTL
125.HK,SUN HING VISION
1250.HK,SDHS NEW ENERGY
1251.HK,SPT ENERGY
1252.HK,CHINA TIANRUI
1253.HK,GREENLAND BROAD
1255.HK,TATA HEALTH
1257.HK,CEB GREENTECH
1258.HK,CHINFMINING
1259.HK,PROSPER FUTURE
126.HK,CARRIANNA
1260.HK,WONDERFUL SKY
1262.HK,LABIXIAOXIN
1263.HK,PC PARTNER
1265.HK,TIANJINJINRAN
1268.HK,MEIDONG AUTO
1269.HK,FIRST CAP GP
127.HK,CHINESE EST H
1270.HK,LANGHAM SS
1271.HK,GRAND MING
1272.HK,DATANG ENVIRO
1273.HK,HK FINANCE GP
1274.HK,IMOTIONTECH
1277.HK,KINETIC DEV
1278.HK,CHINANEWTOWN
128.HK,ENM HOLDINGS
1280.HK,QIDIAN GUOFENG
1281.HK,XINDA INV HLDGS
1282.HK,RENZE HARVEST
1283.HK,ACCEL GROUP
1284.HK,NEW MEDIA LAB
1285.HK,JIASHILI GP
1286.HK,IMPRO PRECISION
1288.HK,ABC
1289.HK,SUNLIT SCI
129.HK,ASIA STANDARD
1290.HK,CHINA HUIRONG
1292.HK,CMA LOGISTICS
1293.HK,GRAND BAOXIN
1298.HK,YUNNAN ENERGY
1299.HK,AIA
13.HK,HUTCHMED
130.HK,MOISELLE INTL
1300.HK,TRIGIANT
1301.HK,D G TECH
1302.HK,LIFETECH SCI
1303.HK,HUILI RES
1305.HK,WAI CHI HOLD
1308.HK,SITC
131.HK,CHEUK NANG HOLD
1310.HK,HKBN
1312.HK,KONTA CHINA
1313.HK,CR BLDG MAT TEC
1314.HK,TSUI WAH HLDG
1315.HK,GREEN ECONOMY
1316.HK,NEXTEER
1317.HK,MAPLELEAF EDU
1318.HK,MAO GEPING
1319.HK,OIWAHPAWN
132.HK,HING YIP HLDGS
1321.HK,CHINA NEWCITY
1323.HK,HUASHENG INTL
1326.HK,TRANSMIT ENT
1327.HK,LUXXU GROUP NEW
1328.HK,GOLDSTREAM INV
133.HK,CHINA MERCHANTS
1330.HK,DYNAGREEN ENV
1332.HK,TOUYUN BIOTECH
1334.HK,RUICHANG INTL
1335.HK,SHEEN TAI
1336.HK,NCI
1338.HK,BAWANG GROUP
1339.HK,PICC GROUP
1340.HK,HUISHENG INTL
1341.HK,HAO TIAN INTL
1343.HK,WEI YUAN HLDG
1345.HK,SH PIONEER HLDG
1346.HK,LEVER STYLE
1347.HK,HUA HONG SEMI
1348.HK,QUALI SMART
1349.HK,FUDANZHANGJIANG
135.HK,KUNLUN ENERGY
1351.HK,BRIGHT FUTURE
1354.HK,KINGFARPROPERTY
1355.HK,LEGEND STRAT
1357.HK,MEITU
1358.HK,PW MEDTECH
1359.HK,CHINA CINDA
136.HK,CHINA RUYI
1360.HK,NOVA GROUP
1361.HK,361 DEGREES
1362.HK,SIS MOBILE
1364.HK,GUMING
1368.HK,XTEP INTL
137.HK,JINHUI HOLDINGS
1370.HK,AOWEI HOLDING
1371.HK,CHINA ECOTOUR
1372.HK,C CARBONNEUTRAL
1373.HK,IH RETAIL
1375.HK,CC SECURITIES
1376.HK,RAFFLESINTERIOR
1378.HK,CHINAHONGQIAO
1379.HK,WENLING MCT
138.HK,CCT FORTIS
1380.HK,CHI KINGSTONE
1381.HK,CANVEST ENV
1382.HK,PACIFICTEXTILES
1383.HK,LET GROUP
1385.HK,SHANGHAI FUDAN
1388.HK,EMBRY HOLDINGS
1389.HK,MAJOR HLDGS
139.HK,CENTRALWEALTHGP
1393.HK,HIDILI INDUSTRY
1395.HK,ELL ENV
1396.HK,GD HKGBA HLDGS
1397.HK,BAGUIO GREEN
1398.HK,ICBC
1399.HK,VESON HLDG
14.HK,HYSAN DEV
1400.HK,MOODY TECH HLDG
1401.HK,SPROCOMM INTEL
1402.HK,I CONTROL
1405.HK,DPC DASH
1406.HK,CLARITY MEDICAL
1407.HK,JY GAS
1408.HK,MACAU E M
1410.HK,EDVANCE INTL
1412.HK,Q P GROUP
1413.HK,FEG HOLDINGS
1415.HK,COWELL
1416.HK,CTR HOLDINGS
1417.HK,RIVERINE CHINA
1418.HK,SINOMAX GROUP
1419.HK,HUMAN HEALTH
142.HK,FIRST PACIFIC
1420.HK,CHUAN HOLDING
1421.HK,PROSP GP INTL
1425.HK,JUSTIN ALLEN H
1426.HK,SPRING REIT
1427.HK,CH TIANBAO GP
1428.HK,BRIGHT SMART
1429.HK,SKYMISSION GP
1431.HK,YST DAIRY
1432.HK,CHINA SHENGMU
1433.HK,CIRTEK HLDGS
144.HK,CHINA MER PORT
1440.HK,STAR SHINE HLDG
1442.HK,INFINITY L T
1443.HK,FULUM GP HLDG
1446.HK,HUNGFOOKTONG
1447.HK,SFK
1448.HK,FU SHOU YUAN
1449.HK,LEADER EDU
145.HK,CCIAM FUTURE EN
1450.HK,BE FRIENDS HLDG
1451.HK,MS GROUP HLDGS
1452.HK,DENOX ENV
1455.HK,FOURACE IND GP
1456.HK,GLMS SEC
1458.HK,ZHOU HEI YA
1459.HK,JUJIANG CONS
146.HK,TAI PING CARPET
1460.HK,ICO GROUP
1461.HK,ZHONGTAIFUTURES
1463.HK,C LINK SQ
1466.HK,BAIJIN LIFE SCI
1468.HK,KINGKEY FIN INT
147.HK,IB SETTLEMENT
1470.HK,PROSPER ONE
1471.HK,ZHONGMIAO
1472.HK,SANG HING HLDGS
1473.HK,PANGAEA CONNECT
1475.HK,NISSIN FOODS
1476.HK,HENGTOU SEC
1477.HK,OCUMENSION B
1478.HK,Q TECH
148.HK,KINGBOARD HLDG
1480.HK,YAN TAT GROUP
1481.HK,SMART GLOBE
1483.HK,NET A GO TECH
1486.HK,C CHENG HLDGS
1488.HK,BEST FOOD HLDG
1489.HK,GC CONSTRUCTION
149.HK,CH AGRI PROD EX
1490.HK,AI X TECH
1495.HK,JIYI HOLDINGS
1496.HK,AP RENTALS
1497.HK,YAN PALACE
1498.HK,PURAPHARM
1499.HK,OKG TECH
150.HK,HYPEBEAST
1500.HK,INCON
1501.HK,INT MEDICAL
1502.HK,FIN STREET PPT
1503.HK,CMC REIT
1508.HK,CHINA RE
151.HK,WANT WANT CHINA
1513.HK,LIVZON PHARMA
1515.HK,CR MEDICAL
1516.HK,SUNAC SERVICES
1518.HK,NC HEALTHCARE
1519.HK,J T EXPRESS W
152.HK,SHENZHEN INTL
1520.HK,VIRTUAL MIND
1521.HK,FRONTAGE
1522.HK,BII TRANS TECH
1523.HK,PLOVER BAY TECH
1525.HK,GENCH EDU
1526.HK,RICI HEALTH
1527.HK,TENGY ENV
1528.HK,RS MACALLINE
1529.HK,YUES INTL HLDG
1530.HK,3SBIO
1532.HK,CHINA PARTYTIME
1536.HK,YUK WING GP
1538.HK,ZHONG AO HOME
1539.HK,UNITY GP HLDGS
154.HK,BE ENVIRONMENT
1540.HK,LEFTFIELD PRINT
1541.HK,IMMUNEONCO B
1542.HK,TAIZHOU WATER
1543.HK,JOIN SHARE
1545.HK,DESIGN CAPITAL
1546.HK,THELLOY DEV
1547.HK,IBI GROUP HLDGS
1548.HK,GENSCRIPT BIO
1549.HK,EVER HARVEST GP
1551.HK,GRCB
1552.HK,BHCC HOLDING
1553.HK,MAIKE TUBE
1555.HK,MIE HOLDINGS
1556.HK,CHINNEY KW
1557.HK,KH GP HLDGS
1558.HK,HEC CJ PHARM
1559.HK,KWAN ON HLDGS
156.HK,LIPPO CHINA RES
1560.HK,STAR GROUP ASIA
1561.HK,PAN ASIA DATA H
1563.HK,ALLI INTL ED LE
1565.HK,VIRSCEND EDU
1568.HK,SUNDART HLDGS
1569.HK,MINSHENG EDU
157.HK,NATURAL BEAUTY
1570.HK,WEIYE HOLDINGS
1571.HK,XIN POINT HOLD
1572.HK,CHINA ART FIN
1575.HK,REGAL PARTNERS
1576.HK,QILU EXPRESSWAY
1577.HK,HUIXIN CREDIT
1578.HK,BANK OF TIANJIN
1579.HK,YIHAI INTL
158.HK,MELBOURNE ENT
1580.HK,DA SEN HLDGS
1581.HK,PROGRESSIVE P
1582.HK,CR CONSTRUCTION
1583.HK,QINQIN FOODS
1585.HK,YADEA
1586.HK,LEON INSPECTION
1587.HK,SHINEROAD INTL
1588.HK,CHANJET
159.HK,BROCKMAN MINING
1591.HK,SHUN WO GROUP
1592.HK,ANCHORSTONE
1593.HK,CHEN LIN EDU
1596.HK,YICHEN IND
1597.HK,NATURE ENERGY T
1598.HK,21CENTURY EDU
1599.HK,UCD
16.HK,SHK PPT
160.HK,HON KWOK LAND
1600.HK,TIAN LUN GAS
1601.HK,ZGC TEC LEASING
1606.HK,CDB LEASING
1608.HK,VPOWER GROUP
1610.HK,COFCO JOYCOME
1611.HK,SINOHOPE TECH
1612.HK,VINCENT MED
1613.HK,SYNERTONE
1615.HK,AB BUILDERS
1616.HK,A METAVERSE
1617.HK,NANFANG COMM
1618.HK,MCC
162.HK,CENTURY GINWA
1620.HK,CINESE INTL
1621.HK,VICO INTL HLDGS
1622.HK,REDCO GROUP
1623.HK,HILONG
1626.HK,JIA YAO HLDGS
1627.HK,ABLE ENG HLDGS
1628.HK,YUZHOU GROUP
1629.HK,CHAMP ALLI INTL
163.HK,EMPEROR INTL
1630.HK,KIN SHING HLDGS
1631.HK,REF HOLDINGS
1632.HK,MSCTECH
1633.HK,SHEUNG YUE GP
1635.HK,DZUG
1636.HK,CMRU
1637.HK,SH GROUP HLDG
1638.HK,KAISA GROUP
164.HK,CHINA BAOLI TEC
1640.HK,QIAN XUN TECH
1643.HK,MODERN CHI MED
1645.HK,HAINA INTEL
1647.HK,GRANDSHORES
165.HK,CHINA EB LTD
1650.HK,HYGIEIA GROUP
1651.HK,TSUGAMI CHINA
1652.HK,FUSEN PHARM
1653.HK,MOS HOUSE
1655.HK,OKURA HOLDINGS
1656.HK,ISDN HOLDINGS
1657.HK,SG GROUP HLDGS
1658.HK,PSBC
166.HK,NEW TIMES CORP
1660.HK,ZHAOBANGJI LIFE
1661.HK,CH FRONTIER TEC
1662.HK,YEE HOP HLDGS
1663.HK,S HARBOURHOLD
1666.HK,TONG REN TANG
1667.HK,DIMMI LIFE HLDG
1668.HK,CHINASOUTHCITY
1669.HK,GIC GROUP
167.HK,IDT INTL
1671.HK,TIANBAO ENERGY
1672.HK,ASCLETIS B
1673.HK,HUAZHANG TECH
1675.HK,ASIAINFO TECH
1676.HK,GAODI HOLDINGS
1679.HK,RISECOMM GP
168.HK,TSINGTAO BREW
1680.HK,MACAU LEGEND
1681.HK,CONSUN PHARMA
1682.HK,HP LIVING TECH
1683.HK,HOPE LIFE INT
1685.HK,BOER POWER
1686.HK,SUNEVISION
1689.HK,HUAXIHOLDINGS
169.HK,WANDA HOTEL DEV
1690.HK,LAP KEI ENGRG
1691.HK,JS GLOBAL LIFE
1692.HK,TOWNRAY HLDGS
1693.HK,BGMC
1695.HK,S P INTL HLDG
1696.HK,SISRAM MED
1697.HK,SDITC
1698.HK,TME SW
17.HK,NEW WORLD DEV
1701.HK,TU YI HLDG
1702.HK,DONGGUANG CHEM
1703.HK,WELIFE TECH
1705.HK,B S INTL HLDG
1707.HK,GEOTECH HLDGS
1708.HK,SAMPLE TECH
1709.HK,DL HOLDINGS GP
171.HK,SILVER GRANT
1710.HK,TRIO IND ELEC
1711.HK,ULFERTS
1712.HK,DRAGON MINING
1713.HK,SICHUAN EN INV
1715.HK,VOLCANO SPRING
1716.HK,MOST KWAI CHUNG
1717.HK,AUSNUTRIA
1718.HK,WAN KEI GROUP
1719.HK,CIL GROUP
1720.HK,PUTIAN COMM
1721.HK,FSM HOLDINGS
1722.HK,KIN PANG HLDGS
1723.HK,HK ASIA HLDGS
1725.HK,USPACE TECH
1726.HK,HKE HOLDINGS
1727.HK,HEBEI CONS
1728.HK,ZHENGTONGAUTO
1729.HK,TIMEINTERCON 1K
173.HK,K WAH INTL
1730.HK,LHN
1731.HK,PROSPEROUS IND
1732.HK,XIANGXING INT
1733.HK,E COMMODITIES
1735.HK,CENTRAL NEW EGY
1736.HK,PARENTING NET
1737.HK,A S GROUP
1738.HK,FS ANTHRACITE
1739.HK,QEEKA HOME
174.HK,GEMINI INV
1740.HK,VALUES CULTURAL
1741.HK,SHING CHI HLDGS
1742.HK,HPC HOLDINGS
1745.HK,LVJI TECH
1746.HK,MAN SHUN GP
1747.HK,HOME CONTROL
1748.HK,XIN YUAN ENT
1749.HK,SHANSHAN
175.HK,GEELY AUTO
1750.HK,REM GROUP HLDGS
1751.HK,KINGLAND GROUP
1752.HK,TOP EDUCATION
1753.HK,DUIBA
1755.HK,S ENJOY SERVICE
1756.HK,CHI SCI EDU IND
1757.HK,AFFLUENT FDN
1758.HK,BOJUN EDU
1759.HK,SINO GAS HLDGS
176.HK,SUPERACTIVE GP
1760.HK,INTRON TECH
1762.HK,WANKA ONLINE
1763.HK,CIRC
1765.HK,XJ INTL HLDGS
1766.HK,CRRC
1767.HK,TS WONDERS
1769.HK,SCHOLAR EDU
177.HK,JIANGSU EXPRESS
1771.HK,SUNFONDA GP
1772.HK,GANFENGLITHIUM
1773.HK,TIANLI INT HLDG
1775.HK,BEXCELLENT GP
1776.HK,GF SEC
1777.HK,FANTASIA
1778.HK,COLOUR LIFE
178.HK,SA SA INTL
1780.HK,RONGZUN INTL H
1782.HK,IB DIGITAL TECH
1783.HK,ENVISION GREEN
1785.HK,CHENGDU EXPWAY
1786.HK,CRCCE
1787.HK,SD GOLD
1788.HK,GUOTAI JUNAN I
1789.HK,AK MEDICAL
179.HK,JOHNSON ELEC H
1790.HK,TIL ENVIRO
1792.HK,CMON
1793.HK,WECON HOLDINGS
1795.HK,YADONG GROUP
1796.HK,METASPACEX
1797.HK,EAST BUY
1798.HK,DATANG RENEW
1799.HK,XINTE ENERGY
18.HK,ORIENTAL E H
180.HK,KADER HOLDINGS
1800.HK,CHINA COMM CONS
1801.HK,INNOVENT BIO
1802.HK,WENYE GROUP
1803.HK,BJ SPORTS ENT
1808.HK,ENTERPRISE DEV
1809.HK,PRINX CHENGSHAN
181.HK,FUJIAN HOLDINGS
1810.HK,XIAOMI W
1811.HK,CGN NEW ENERGY
1812.HK,CHENMING PAPER
1813.HK,KWG GROUP
1815.HK,CSMALL
1816.HK,CGN POWER
1817.HK,MULSANNE GROUP
1818.HK,ZHAOJIN MINING
182.HK,CONCORD NE
1820.HK,PM PACKAGING
1821.HK,ESR
1822.HK,CHINA WOOD INT
1823.HK,HUAYUEXPRESSWAY
1825.HK,STERLING GP
1826.HK,FDB HOLDINGS
1827.HK,MIRICOR
183.HK,WINFULL GP
1830.HK,PERFECT MEDICAL
1831.HK,SHIFANG HLDG
1832.HK,SAI LEISURE
1833.HK,PA GOODDOCTOR
1835.HK,REALWAY CAPITAL
1836.HK,STELLA HOLDINGS
1837.HK,NATURAL FOOD IH
184.HK,KECK SENG INV
1841.HK,APLUS GROUP
1842.HK,GROWN UP GROUP
1843.HK,SNACK EMPIRE
1845.HK,WG ENV TECH
1846.HK,EUROEYES
1847.HK,GHPC
1848.HK,CALC
1849.HK,AM GROUP
185.HK,ZENSUN ENT
